1、您的性别？,2、您的年龄？,3、您是否了解预制菜？,4、平时就餐您更倾向于选择哪种？,5、您上一题选择此答案的原因是,6、您食用开封后就能吃的即食食品的频率？,7、您食用加热后就能吃的即热食品的频率？,8、您食用还需下锅烹饪才能吃的即烹食品的频率？,9、您购买切好清洗好的肉或蔬菜这种即配食品的频率？,10、预制菜作为近年来餐饮行业发展的一种形式，您能接受的价格为多少？,11、您更倾向通过何种方式购买预制菜,12、如果您选择购买预制菜作为您的正餐，会更注重品牌吗？,13、您听说过或购买过哪些预制菜的品牌？,14、针对预制菜的发展，您认为以下哪个问题急需要被改善或者解决？,15、预制菜的未来还需时间的检验，请您就预制菜的发展提出宝贵的意见和建议。
女,18-25岁,不了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎不,约一个礼拜一次,10-20元,电商平台,会，大品牌放心可靠。,其他〖不晓得 没听过〗,价格问题|菜品种类问题|食品安全问题|购买配送问题,预制菜是啥啊 求科普
女,18-25岁,不了解,堂食|外卖|打包自提,价格实惠|口味多样|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,便宜点
男,18-25岁,了解,堂食|外卖|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜,购买配送问题,加油
男,18-25岁,不了解,堂食,地点上方便,几乎不,几乎不,几乎不,几乎不,20-30元,熟食店,不会，更注重口味。,自嗨锅|西贝|海底捞,食品安全问题,无
女,18-25岁,不了解,堂食|外卖|打包自提|预制菜|买菜做饭|方便面类食品,地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,菜品种类问题|食品安全问题,无
女,45岁以上,了解,买菜做饭,干净卫生,约一个月一次,几乎不,几乎每天,几乎不,10-20元,电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜,菜品种类问题,保证干净卫生，口味更多样
女,36-45岁,不了解,买菜做饭,价格实惠|干净卫生|地点上方便,约一个月一次,几乎不,约一个月一次,几乎不,20-30元|30-40元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,菜品尽可能少的调料，配送过程中的食品安全和保鲜应该注重。
男,36-45岁,不了解,买菜做饭,干净卫生,几乎不,几乎不,几乎不,几乎不,20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,京东生鲜,菜品种类问题|食品安全问题,加油！
男,26-35岁,不了解,堂食,地点上方便|时间上便捷,约一个月一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元,生鲜超市|熟食店,会，大品牌放心可靠。,京东生鲜,价格问题|食品安全问题,食品安全问题最为重要，价格设置需要合理
女,36-45岁,了解,堂食|外卖|买菜做饭,价格实惠|口味多样|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,10-20元|20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|食品安全问题,连锁门店更放心
女,18-25岁,不了解,堂食|外卖|打包自提|买菜做饭,价格实惠|干净卫生|地点上方便|时间上便捷,几乎不,几乎不,几乎不,几乎不,10-20元,电商平台|熟食店,不会，更注重口味。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食,地点上方便|时间上便捷,几乎每天,约一个月一次,约一个月一次,约一个礼拜一次,10-20元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|海底捞,价格问题|菜品种类问题,希望价格能低一点，选择种类多一点
女,18-25岁,不了解,买菜做饭,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|西贝|京东生鲜|海底捞,购买配送问题,无
女,36-45岁,了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,几乎不,约一个月一次,几乎不,20-30元,堂食门店|熟食店,会，大品牌放心可靠。,西贝,菜品种类问题|食品安全问题,干净卫生，食材新鲜。
女,18-25岁,不了解,堂食|外卖,口味多样|干净卫生|时间上便捷,几乎不,几乎不,几乎不,几乎不,20-30元,堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,购买配送问题,卫生安全
女,26-35岁,不了解,堂食|外卖|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,几乎每天,约一个礼拜一次,10-20元|20-30元|30-40元|40元及以上,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,食品安全要保证
女,18-25岁,不了解,堂食|外卖|买菜做饭|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎每天,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,注重食品安全
女,18-25岁,不了解,外卖|买菜做饭,价格实惠|口味多样|地点上方便,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个礼拜一次,20-30元,堂食门店,会，大品牌放心可靠。,京东生鲜,食品安全问题,无
女,18-25岁,不了解,买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,几乎不,几乎每天,几乎不,10-20元|20-30元,生鲜超市|电商平台|熟食店,不会，更注重口味。,京东生鲜|海底捞,价格问题|食品安全问题,无
女,18-25岁,不了解,买菜做饭,干净卫生,几乎不,约一个礼拜一次,约一个礼拜一次,几乎不,20-30元,生鲜超市,不会，更注重口味。,自嗨锅,购买配送问题,没有
女,18-25岁,不了解,堂食|外卖,地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元,生鲜超市,不会，更注重口味。,知味观,菜品种类问题|食品安全问题|购买配送问题,bang
女,18-25岁,了解,堂食|外卖|打包自提|方便面类食品,口味多样|干净卫生|地点上方便,约一个月一次,几乎不,几乎不,几乎不,20-30元,堂食门店|熟食店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,食品的新鲜程度和卫生问题
男,45岁以上,不了解,堂食,干净卫生,几乎不,几乎不,约一个礼拜一次,几乎不,40元及以上,熟食店,会，大品牌放心可靠。,西贝|京东生鲜|海底捞,食品安全问题,卫生，安全
女,18-25岁,不了解,堂食|买菜做饭,地点上方便|时间上便捷,约一个月一次,约一个礼拜一次,几乎每天,几乎不,20-30元,生鲜超市|堂食门店|熟食店,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,站在不同的角度去看问题，为对方着想
男,18-25岁,不了解,堂食|外卖,价格实惠,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,京东生鲜,食品安全问题,无
男,36-45岁,不了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,几乎每天,约一个礼拜一次,约一个月一次,几乎每天,10-20元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|食品安全问题,卫生
女,18-25岁,不了解,堂食,干净卫生,几乎每天,几乎不,几乎不,几乎不,10-20元,电商平台,不会，更注重口味。,西贝|其他,食品安全问题,添加剂问题，和食品安全问题
女,45岁以上,不了解,买菜做饭,价格实惠|干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元,熟食店,会，大品牌放心可靠。,其他,食品安全问题,物美价廉
女,18-25岁,了解,堂食|外卖|打包自提|预制菜|方便面类食品,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,约一个月一次,约一个礼拜一次,几乎不,20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,知味观,价格问题|菜品种类问题|食品安全问题,无
男,18-25岁,了解,堂食|外卖,价格实惠|干净卫生|地点上方便|时间上便捷,几乎每天,几乎不,几乎不,几乎不,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,其他〖无〗,食品安全问题,向公众更普及，市场规模扩大后自然会有更统一和明确的标准
男,18-25岁,不了解,堂食|买菜做饭,干净卫生,约一个月一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|食品安全问题,希望做到干净卫生
女,26-35岁,不了解,堂食|买菜做饭,干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个月一次,几乎不,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,吃生鲜更注重食品健康和新鲜
女,36-45岁,不了解,买菜做饭,干净卫生,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元,堂食门店,会，大品牌放心可靠。,海底捞,食品安全问题,价格合理，干净卫生。
女,45岁以上,不了解,堂食|买菜做饭,干净卫生|地点上方便|时间上便捷,几乎不,约一个月一次,约一个月一次,几乎不,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,京东生鲜,价格问题|食品安全问题|购买配送问题,食品安全第一重要
男,45岁以上,不了解,买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,几乎每天,几乎每天,几乎不,10-20元|20-30元,堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,继续努力
男,18-25岁,了解,堂食|外卖|买菜做饭|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个月一次,约一个礼拜一次,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,正大|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,注重卫生
男,18-25岁,了解,堂食,地点上方便,约一个月一次,几乎不,几乎每天,约一个月一次,10-20元,生鲜超市|电商平台|熟食店,会，大品牌放心可靠。,自嗨锅,价格问题|菜品种类问题|食品安全问题|购买配送问题,暂无
女,18-25岁,不了解,外卖|打包自提,地点上方便|时间上便捷,约一个月一次,几乎不,约一个礼拜一次,几乎不,30-40元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,京东生鲜|海底捞,菜品种类问题|食品安全问题|购买配送问题,"丰富菜品
提升监管
提升卫生水平"
女,18-25岁,不了解,堂食|买菜做饭,干净卫生|地点上方便,约一个月一次,几乎不,约一个礼拜一次,几乎不,10-20元|20-30元,生鲜超市|熟食店,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,不了解,买菜做饭|方便面类食品,价格实惠|干净卫生|地点上方便,约一个礼拜一次,几乎不,几乎每天,几乎不,10-20元,生鲜超市,不会，更注重口味。,海底捞,菜品种类问题|食品安全问题,。
男,18-25岁,不了解,堂食|外卖|打包自提,价格实惠|口味多样,几乎不,几乎不,几乎不,几乎每天,10-20元,生鲜超市|电商平台,不会，更注重口味。,其他,价格问题|食品安全问题,0
男,18-25岁,不了解,堂食|打包自提,价格实惠|干净卫生,约一个礼拜一次,约一个月一次,几乎每天,几乎每天,20-30元,生鲜超市|堂食门店,不会，更注重口味。,正大|自嗨锅|海底捞,价格问题|食品安全问题,味道更好点 更加安全
女,18-25岁,不了解,打包自提|买菜做饭,地点上方便|时间上便捷,几乎每天,几乎不,几乎不,几乎不,20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|西贝|海底捞,食品安全问题|购买配送问题,无
男,18-25岁,了解,堂食|预制菜,口味多样,几乎每天,约一个月一次,几乎每天,几乎每天,10-20元,电商平台,会，大品牌放心可靠。,正大|自嗨锅,价格问题|菜品种类问题|食品安全问题,预制菜种类还不丰富，体制还不够完善，没有一致的标准
男,18-25岁,了解,买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,几乎不,约一个月一次,几乎不,10-20元|20-30元|30-40元,生鲜超市,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,"希望食品更加的安全，口味有所提升改变，价格合理。
愿预制菜越来越发展。"
女,18-25岁,不了解,外卖|打包自提|买菜做饭,价格实惠|干净卫生,约一个礼拜一次,几乎不,约一个礼拜一次,几乎不,10-20元|20-30元,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题|购买配送问题,无
女,36-45岁,不了解,堂食|买菜做饭,价格实惠|干净卫生,约一个月一次,几乎不,约一个月一次,几乎每天,10-20元|20-30元,生鲜超市|熟食店,会，大品牌放心可靠。,知味观|正大|海底捞,价格问题,加油！
男,45岁以上,不了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个月一次,几乎每天,约一个礼拜一次,10-20元|20-30元,电商平台|堂食门店|熟食店,会，大品牌放心可靠。,知味观|正大|京东生鲜,价格问题|菜品种类问题|食品安全问题|购买配送问题,希望价格更便宜，口味多样化
男,18-25岁,不了解,堂食|外卖|打包自提|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,几乎不,几乎不,几乎每天,10-20元|20-30元|30-40元|40元及以上,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,知味观|正大|自嗨锅|西贝|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,不了解,堂食|预制菜,口味多样|干净卫生,约一个月一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,10-20元,电商平台,会，大品牌放心可靠。,京东生鲜|海底捞,食品安全问题,希望加强食品安全监管力度
男,18-25岁,不了解,外卖|买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,无
女,18-25岁,不了解,堂食,价格实惠|干净卫生|地点上方便,几乎不,几乎不,几乎不,几乎不,20-30元,生鲜超市|熟食店,不会，更注重口味。,自嗨锅|海底捞,价格问题|购买配送问题,暂无
男,18-25岁,了解,堂食,地点上方便,几乎每天,几乎每天,约一个月一次,几乎每天,40元及以上,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题,保证食品安全
男,18-25岁,不了解,堂食|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个月一次,几乎不,约一个月一次,几乎每天,10-20元|20-30元,生鲜超市|熟食店,会，大品牌放心可靠。,正大|自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,健康
男,18-25岁,了解,堂食|外卖|打包自提|预制菜|买菜做饭|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎不,几乎不,10-20元|20-30元|30-40元,电商平台|熟食店,会，大品牌放心可靠。,知味观|正大|自嗨锅|西贝|京东生鲜|海底捞,价格问题|食品安全问题,希望价格实惠，口味多样。
男,18-25岁,不了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,约一个月一次,约一个月一次,几乎不,10-20元,生鲜超市|堂食门店|熟食店,不会，更注重口味。,自嗨锅,价格问题|食品安全问题,贵
男,18-25岁,不了解,堂食|外卖|打包自提|预制菜,价格实惠|口味多样|干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,知味观|正大|京东生鲜,价格问题|菜品种类问题|食品安全问题|购买配送问题,加强品牌建设。
男,18-25岁,不了解,外卖|打包自提,价格实惠|口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台|堂食门店,不会，更注重口味。,知味观|正大|西贝|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,希望价格实惠口味多样。
女,18-25岁,不了解,外卖,地点上方便|时间上便捷,约一个月一次,约一个月一次,几乎不,约一个礼拜一次,30-40元,堂食门店|熟食店,会，大品牌放心可靠。,京东生鲜|海底捞,菜品种类问题,无
男,18-25岁,不了解,堂食,干净卫生|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,几乎每天,几乎不,10-20元,堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,不了解,堂食|打包自提,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎每天,10-20元|20-30元|30-40元,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,知味观|正大|西贝|海底捞,菜品种类问题|食品安全问题,无
男,18-25岁,不了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,几乎不,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台,不会，更注重口味。,京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,无
男,18-25岁,了解,堂食|打包自提,口味多样|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,知味观|正大,价格问题|菜品种类问题,暂无意见
女,18-25岁,了解,堂食|打包自提,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,不了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,10-20元,生鲜超市|堂食门店,会，大品牌放心可靠。,知味观|正大|西贝,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,了解,堂食,口味多样|干净卫生,约一个礼拜一次,约一个月一次,约一个月一次,约一个礼拜一次,30-40元,堂食门店,会，大品牌放心可靠。,正大,菜品种类问题,111
男,18-25岁,不了解,堂食|外卖|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,几乎每天,20-30元,堂食门店|熟食店,不会，更注重口味。,知味观|正大|西贝|海底捞,菜品种类问题|食品安全问题,口味更丰富
女,18-25岁,了解,堂食|外卖,价格实惠|口味多样|时间上便捷,几乎不,几乎不,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|西贝|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,预制菜口味需要提高
女,18-25岁,不了解,外卖,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元|30-40元|40元及以上,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题,无
男,18-25岁,不了解,堂食|买菜做饭,价格实惠|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题,种类多样化
男,18-25岁,不了解,买菜做饭,价格实惠|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个月一次,10-20元,生鲜超市,会，大品牌放心可靠。,正大|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,少点 老坛酸菜这样的，食品安全做好其他自然就好了，少整点花里胡哨的
男,45岁以上,不了解,堂食,价格实惠,约一个礼拜一次,约一个月一次,约一个月一次,几乎不,10-20元,生鲜超市|熟食店,不会，更注重口味。,海底捞,食品安全问题,食品安全特别重要
女,18-25岁,不了解,堂食|外卖|打包自提,口味多样|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个月一次,几乎不,10-20元|20-30元,生鲜超市|熟食店,不会，更注重口味。,知味观|自嗨锅,价格问题|菜品种类问题|食品安全问题,无
男,18-25岁,不了解,堂食|外卖,口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大,价格问题|菜品种类问题,无
男,18-25岁,不了解,堂食,地点上方便|时间上便捷,几乎每天,几乎每天,几乎每天,几乎每天,10-20元|20-30元,堂食门店|熟食店,不会，更注重口味。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食|外卖,地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|海底捞,食品安全问题,无
男,18-25岁,不了解,堂食|外卖|预制菜|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,约一个月一次,约一个月一次,几乎不,几乎不,20-30元|30-40元,堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题,"改善菜品口感
推出新款口味
食材上更注重搭配即可"
女,18-25岁,不了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎每天,几乎不,10-20元|20-30元,堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食|买菜做饭,口味多样|干净卫生,约一个礼拜一次,几乎不,几乎不,几乎不,30-40元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,知味观|自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,找注意预制菜的保鲜和品牌管理
女,18-25岁,了解,堂食|打包自提|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞|其他〖开小灶〗,价格问题|食品安全问题,无
女,18-25岁,不了解,堂食|外卖,地点上方便|时间上便捷,约一个月一次,几乎不,几乎每天,几乎不,30-40元|40元及以上,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题,提供更多种类
男,18-25岁,了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生|时间上便捷,约一个月一次,约一个月一次,约一个月一次,约一个月一次,20-30元,堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题,无
女,18-25岁,不了解,堂食|外卖|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,几乎不,约一个礼拜一次,几乎不,10-20元|20-30元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|西贝|海底捞,价格问题|菜品种类问题|食品安全问题,无
女,18-25岁,了解,外卖|打包自提|方便面类食品,地点上方便|时间上便捷,几乎每天,几乎每天,约一个礼拜一次,约一个月一次,20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|西贝|京东生鲜,食品安全问题,无
女,18-25岁,了解,打包自提|买菜做饭,口味多样|干净卫生,约一个月一次,几乎不,几乎不,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台,不会，更注重口味。,知味观|正大|自嗨锅|西贝|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,无
男,18-25岁,不了解,堂食|外卖,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元|20-30元,生鲜超市,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,暂无
男,18-25岁,不了解,买菜做饭,价格实惠|口味多样,几乎每天,几乎每天,几乎每天,几乎不,20-30元,生鲜超市,会，大品牌放心可靠。,西贝|海底捞,价格问题,希望能价格更亲民一些，种类更丰富一些
女,18-25岁,不了解,堂食|外卖|打包自提|买菜做饭|方便面类食品,价格实惠|时间上便捷,约一个礼拜一次,几乎不,约一个礼拜一次,几乎每天,20-30元|30-40元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜,菜品种类问题|食品安全问题|购买配送问题,没有意见
男,18-25岁,了解,堂食|外卖,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个月一次,10-20元|20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,无
女,18-25岁,了解,堂食|外卖|打包自提,地点上方便|时间上便捷,几乎每天,约一个月一次,几乎每天,几乎每天,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,便宜点
男,18-25岁,不了解,外卖,口味多样,几乎不,约一个月一次,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题,没有意见
